Ancap,green,0
anchor,green,0
ancient,green,0
Ancom,green,0
and,green,0
andale,green,0
anderson,green,0
Andile Mngxitama,green,0
andorra,green,0
Andre,green,0
andrea,green,0
andreas,green,0
Andrew,green,0
Andrew Cuomo,green,0
Andrew Gunadie,green,0
Andrew Huang,green,0
andrews,green,0
Andy,green,0
Andy McKee,green,0
Angel,green,0
Angela,green,0
angelcore,green,5
angeles,green,0
Angelica,green,0
Angelina,green,0
Angelina Jolie,green,0
angels,green,0
anger,green,0
Angie,green,0
Angie Miller,green,0
Angioedema,green,0
angle,green,0
angola,green,0
angrily,green,0
angry,green,0
Ani,green,0
anilingus,green,0
animal,green,0
animals,green,0
animated,green,0
animation,green,0
anime,green,0
Anita Sarkeesian,green,0
anixiously,green,0
ankle,green,0
Ankylosing spondylitis,green,0
ann,green,0
Ann Coulter,green,0
Ann Reardon,green,0
Anna,green,0
Anna Akana,green,0
anne,green,0
annex,green,0
Annie,green,0
anniversary,green,0
annotated,green,0
annotation,green,0
announce,green,0
announced,green,0
announcement,green,0
announcements,green,0
announces,green,0
annoy,green,0
annoyed,green,0
annoying,green,0
Annoying Orange,green,0
annual,green,0
annually,green,0
Anonymous,green,0
Anorexia nervosa,yellow,0
anorexic,green,0
another,green,0
answer,green,0
answered,green,0
answering,green,0
answers,green,0
ant,green,0
antarctica,green,0
antenna,green,0
Anthony,green,0
Anthony Bourdain,yellow,2
Anthony Cumia,green,0
Anthony Fantano,green,0
Anthony Fauci,green,0
Anthony Padilla,green,0
anthropology,green,0
anti,green,0
anti vaccine,green,2
anti vaxx,green,0
Anti vaxxer,green,2
anti-,green,0
anti-mask,green,0
anti-sjw,green,0
antibiotic,green,0
antibodies,green,0
antibody,green,0
Antichrist,green,1
antichristian,green,0
anticipate,green,0
anticipated,green,3
antidote,green,0
ANTIFA,green,3
antigua,green,2
antihistamine,green,0
antique,green,0
antiques,green,0
antiracist,green,0
antisocial,green,0
antivax,green,0
antivaxx,green,1
antivirus,yellow,1
Antonin Scalia,green,0
Antonio,green,1
anus,yellow,0
anxiety,green,0
anxious,green,0
any,green,0
anybody,green,2
anymore,green,0
anyone,green,0
anything,green,0
anytime,green,0
anyway,green,0
anywhere,green,0
AOC,green,0
Aokigahara,green,0
AOL,green,0
ap,green,0
apache,green,0
apart,green,0
Apartheid,green,0
apartment,green,0
apartments,green,0
ape,green,0
apes,green,0
apeshit,green,0
api,green,0
apnic,green,0
apollo,green,0
apologize,green,0
Apostasy,green,0
app,green,0
apparatus,green,0
apparel,green,0
apparent,green,2
apparently,green,0
appeal,green,0
appeals,green,0
appear,green,0
appearance,green,0
appeared,green,0
appearing,green,0
appears,green,0
Appendicitis,green,0
appendix,green,0
apple,green,0
apple computer,green,0
appliance,green,0
appliances,green,1
applicable,green,0
applicant,green,0
applicants,green,0
application,green,0
applications,green,0
applied,green,0
applies,green,0
apply,green,0
applying,green,0
appoint,green,1
appointed,green,0
appointing,green,0
appointment,green,1
appointments,green,0
appraisal,green,0
appreciate,green,0
appreciated,green,0
appreciates,green,0
appreciation,green,0
approach,green,0
approaches,green,0
appropriate,green,0
appropriation,green,0
appropriations,green,1
approval,green,0
approve,green,0
approved,green,0
approving,green,0
approx,green,0
approximate,green,0
approximately,green,0
apps,green,0
apr,green,0
April,green,0
apt,green,0
aqua,green,0
aquarium,green,0
aquatic,green,0
ar,green,1
ar5e,green,0
Arab,yellow,1
arabia,green,0
Arabian,green,0
arabic,green,0
Arabs,green,0
arbitrary,green,0
arbitration,green,0
arbor,green,0
arc,green,0
arcade,green,0
arch,green,0
architect,green,0
architects,green,0
architectural,green,0
architecture,green,0
archive,green,0
archived,green,0
archives,green,0
arctic,green,0
are,green,0
area,green,2
Area 51,green,0
areas,green,0
arena,green,0
areola,green,4
areole,green,0
arg,green,0
argentina,green,0
argue,green,0
argued,green,0
argument,green,0
arguments,green,0
arian,green,0
Ariana,green,0
Arianna,green,0
Ariel,green,0
Arin Hanson,green,0
arise,green,0
arising,green,0
arizona,green,0
arkansas,green,0
arlington,green,0
arm,green,0
armed,green,0
armed militia,green,0
armed rebellion,green,0
armed robbery,green,5
armenia,green,0
armenian,green,0
armenian genocide,green,3
armies,green,0
armor,green,0
arms,green,0
armstrong,green,0
army,green,0
arnold,green,0
around,green,0
arrange,green,0
arranged,green,0
arrangement,green,0
arrangements,green,1
array,green,0
arrest,green,0
arrested,green,0
arrival,green,0
arrivals,green,0
arrive,green,0
arrived,green,0
arrives,green,0
arrow,green,0
arrows,green,0
arrse,green,0
arse,yellow,3
arsehole,yellow,5
arson,green,0
art,green,0
art doll,green,0
Arthritis,green,6
arthur,green,0
article,green,0
articles,green,0
artificial,green,0
artificially,green,0
artist,green,0
artistic,green,0
artistically,green,0
artists,green,0
arts,green,0
artwork,green,0
aruba,green,0
Arunabh Kumar,green,0
aryan,green,0
as,green,0
asbestos,green,0
Asbestosis,green,0
ascii,green,5
asexual,green,2
Ash,green,0
ashamed,green,0
Ashanti,green,0
Ashlee Simpson,green,0
Ashley,green,0
Ashlyn,green,0
Ashton,green,0
asia,yellow,1
asian,green,2
asians,yellow,3
aside,green,0
asin,yellow,4
ask,green,0
asked,green,0
asking,green,0
asks,green,0
ASL,green,0
asleep,green,0
ASMR,green,0
asn,green,3
asp,green,0
aspect,green,0
aspects,green,0
Asperger,green,0
Asperger syndrome,green,0
ass,yellow,2
assassin,green,2
assassinate,green,2
assassins,green,2
assault,green,2
assaulted,green,3
assbang,green,3
assbite,green,1
assclown,green,2
assembled,green,0
assembly,green,0
asses,yellow,2
assess,green,0
assessed,green,0
assessing,green,0
assessment,green,0
assessments,green,0
asset,green,0
assets,green,0
assface,yellow,2
assfaces,green,1
assfuck,yellow,2
assfucker,yellow,5
asshat,green,0
asshole,yellow,0
assholes,yellow,0
assign,green,0
assigned,green,1
assignment,green,0
assignments,green,0
assist,green,0
assistance,green,0
assistant,green,0
assisted,yellow,6
assists,green,0
asslick,yellow,6
asslicker,green,2
assmaster,green,1
assmuncher,yellow,3
assnigger,green,0
associate,green,0
associated,green,0
associates,green,0
association,green,0
associations,green,0
assume,green,0
assumed,green,0
assumes,green,0
assuming,green,0
assumption,green,0
assumptions,green,0
assurance,green,0
assure,green,0
assured,green,0
asswad,green,1
asswhole,green,7
asswipe,green,0
asswipes,green,0
Asthma,green,2
astrology,green,0
astronomy,green,0
asus,green,0
asylum,green,0
at,green,0
ata,green,3
ate,green,0
Atheism,green,0
Atheist,green,0
athens,green,0
Atherosclerosis,green,0
athletes,green,0
athletic,green,0
athletics,green,0
ati,green,0
atlanta,green,0
atlantic,green,0
atlas,green,0
ATM,green,0
atmosphere,green,0
atmospheric,green,3
atom,green,0
atomic,green,0
Atopic eczema,green,0
attach,green,0
attached,green,3
attachment,green,0
attachments,green,0
attack,green,2
attacked,yellow,1
attacking,green,0
attacks,green,2
attempt,green,0
attempted,yellow,3
attempting,green,0
attempts,yellow,3
attend,green,0
attendance,green,0
attended,green,0
attending,green,0
attention,green,0
attitude,green,0
attitudes,green,0
attorney,green,0
attorneys,green,0
attract,green,0
attraction,green,0
attractions,green,0
attractive,green,0
attribute,green,0
attributes,green,1
au,green,0
auburn,green,0
auckland,green,0
auction,green,0
auctions,green,0
aud,green,0
audi,green,0
audience,green,0
audio,green,0
audit,green,1
audited,green,0
auditor,green,0
Audrey,green,2
aug,green,0
August,green,0
Aum,green,0
Aum cult,green,4
aunt,green,0
aunty,yellow,0
Aurora,green,0
aus,green,0
Austin,green,0
Austin Jones,green,0
Austin Mahone,green,0
Australia,green,0
australian,green,0
austria,green,0
authentic,green,0
authentication,green,0
author,green,0
authoritarian,green,0
authoritarianism,green,0
authoritarians,green,0
authorities,green,0
authority,green,0
authorization,green,0
authorized,green,0
authors,green,0
Autism,yellow,3
autist,green,0
autistic,green,3
auto,green,0
auto erotic,yellow,0
autoerotic,green,0
autogynephilia,green,0
autoimune,green,0
